lead_id,country,employees,industry,source,plan_interest
L001,DE,1200,software,webinar,enterprise
L002,DE,640,logistics,demo,enterprise
L003,AT,900,software,demo,enterprise
L004,CH,2100,finance,referral,enterprise
L005,DE,120,retail,demo,growth
L006,NL,300,software,webinar,growth
L007,ES,80,travel,demo,growth
L008,IT,45,retail,trial,starter
L009,FR,600,software,demo,enterprise
L010,FR,220,media,webinar,growth
L011,FR,90,retail,demo,growth
L012,CY,25,software,trial,starter
L013,PL,410,logistics,demo,growth
L014,US,800,software,demo,enterprise
L015,US,120,finance,webinar,growth
L016,GB,340,software,demo,growth
L017,GB,30,retail,trial,starter
L018,BR,150,agriculture,webinar,growth
L019,BR,40,retail,trial,starter
L020,IN,900,software,demo,enterprise
L021,IN,60,software,trial,growth
L022,AE,220,construction,referral,growth
L023,ZA,75,mining,demo,growth
L024,SG,410,finance,demo,enterprise
L025,DE,20,software,trial,starter
L026,NL,15,software,trial,starter
L027,CY,12,tourism,trial,starter
L028,ES,35,retail,trial,starter
L029,IT,900,manufacturing,demo,enterprise
L030,AT,44,software,trial,starter
